vocab,type,meaning,weight
acceptable,adj,可以接受的;令人滿意的,0
accurate,adj,準確的,0
actual,adj,實際的;事實上的,0
additional,adj,附加的;額外的,0
advanced,adj,先進的;高等的,0
apparent,adj,"明顯的,顯而易見的",0
arithmetic,adj,算術的,0
attractive,adj,有吸引力的;引人注目的,0
automatic,adj,"自動的,習慣性的",0
available,adj,"可用的,可得到的,有效的",0
average,adj,平均的,0
awake,adj,醒著的,0
aware,adj,"知道的,察覺的",0
awful,adj,可怕的,0
bare,adj,裸的;僅僅的,0
bold,adj,無畏的;大膽的,0
brass,adj,"黃銅製的,黃銅色的",0
brilliant,adj,明亮的;才華橫溢的;傑出的,0
capable,adj,有...的能力,0
capital,adj,可處死刑的,0
casual,adj,非正式的;隨便的,0
ceramic,adj,陶器的;製陶藝術的,0
changeable,adj,易變的;不定的,0
cheerful,adj,使人感到愉快的,0
cherry,adj,櫻桃口味的;;鮮紅色的,0
chill,adj,涼颼颼的,0
chilly,adj,冷颼颼的,0
civil,adj,"市民的,國民的",0
classical,adj,古典的,0
commercial,adj,商業的;商務的,0
complex,adj,複雜的,0
confident,adj,有信心的,0
conscious,adj,"神志清醒的,有知覺的",0
considerable,adj,相當大的;相當多的,0
constant,adj,"固定的,不變的",0
countable,adj,可計算的;可數的,0
creative,adj,有創造力(或想像力)的,0
criminal,adj,"犯罪的,犯法的",0
crisp,adj,"脆的,酥的,鬆脆的",0
crispy,adj,酥脆的;清脆的,0
crunchy,adj,發嘎吱嘎吱聲的;易碎的,0
cultural,adj,教養的;人文的,0
current,adj,現行的,0
darling,adj,"親愛的,心愛的;寵愛的",0
democratic,adj,有民主精神的,0
desirable,adj,值得嚮往的;富有魅力的,0
diligent,adj,勤勉的,0
dim,adj,微暗的;暗淡的,0
domestic,adj,國內的,0
doubtful,adj,懷疑的,0
dramatic,adj,戲劇性的;引人注目的,0
drowsy,adj,昏昏欲睡的,0
drunk,adj,"喝醉(酒)的;陶醉的,興奮的",0
due,adj,應支付的;欠款的,0
eager,adj,"渴望的,急切的",0
educational,adj,教育的,0
efficient,adj,效率高的;有能力的,0
elderly,adj,年長的;上了年紀的,0
electric,adj,電的,0
electrical,adj,電的,0
electronic,adj,電子的,0
empty,adj,空的,0
energetic,adj,精力充沛的,0
