vocab,type,meaning,weight
able,adj,能;有能力的,0
above,adj,"上文的,前述的",0
adult,adj,成年的;成熟的;色情的,0
afraid,adj,害怕,0
all,adj,所有的;全部,0
alone,adj,單獨的;孤單的,0
angry,adj,生氣的,0
another,adj,另一個,0
any,adj,任何的,0
back,adj,後面的;拖欠的;過去的,0
bad,adj,壞的,0
basic,adj,基本的,0
beautiful,adj,漂亮的,0
best,adj,最好的;最熟練的;最適當的,0
better,adj,較佳的;更好的;更適當的,0
big,adj,大的,0
black,adj,黑色的,0
blue,adj,藍色的,0
born,adj,出生的;誕生的,0
both,adj,兩者,0
bottom,adj,"最低的;最後的,最下的",0
brave,adj,勇敢的,0
bright,adj,光亮的,0
brown,adj,褐色的;棕色的,0
busy,adj,忙碌的,0
careful,adj,小心的,0
certain,adj,肯定的,0
chief,adj,為首的;主要的,0
clean,adj,乾淨的,0
clear,adj,清楚的;晴朗的,0
close,adj,近的;密切的,0
cold,adj,寒冷的,0
common,adj,常見的,0
cool,adj,涼快的;很棒的;酷,0
correct,adj,正確的,0
cute,adj,可愛的,0
dark,adj,黑暗的,0
dead,adj,死的,0
dear,adj,親愛的,0
deep,adj,深的,0
different,adj,不同的,0
difficult,adj,困難的,0
direct,adj,直接的,0
dirty,adj,骯髒的,0
down,adj,"情緒低落,消沈;(分期付款的)第一期的",0
downstairs,adj,樓下的,0
dry,adj,乾的,0
each,adj,每個,0
early,adj,早的;提早的,0
east,adj,東方的,0
easy,adj,容易的,0
eight,adj,八的,0
eighteen,adj,十八的,0
eighty,adj,八十的,0
either,adj,兩者之一,0
eleven,adj,十一的,0
English,adj,英格蘭的;英國的;英國人的;英語的,0
enough,adj,足夠的,0
equal,adj,相等的; 平等的,0
even,adj,均勻的;偶數的;平手的,0
every,adj,每一個的,0
false,adj,假的,0
far,adj,遠的,0
fast,adj,快的,0
fat,adj,胖的,0
few,adj,少數的;一些,0
fifteen,adj,十五的,0
fifty,adj,五十的,0
final,adj,最終的,0
fine,adj,好的,0
first,adj,第一的,0
five,adj,五的,0
foreign,adj,"外國的,陌生的,外來的",0
forty,adj,四十的,0
four,adj,四的,0
fourteen,adj,十四的,0
free,adj,空閒的;自由的;免費的,0
fresh,adj,新鮮的,0
front,adj,前面的;正面的,0
full,adj,飽的;滿的,0
funny,adj,可笑的;滑稽的,0
general,adj,普遍的,0
glad,adj,高興的,0
gold,adj,金製的,0
good,adj,好的,0
grand,adj,雄偉的;總的,0
gray,adj,灰色的,0
great,adj,很棒;大的,0
green,adj,綠色的,0
grey,adj,灰色的,0
half,adj,"一半的,二分之一的;不完整的",0
happy,adj,快樂的,0
hard,adj,硬的;難的,0
heavy,adj,重的,0
high,adj,高的,0
home,adj,家庭的;國內的,0
hot,adj,熱的,0
huge,adj,巨大的,0
human,adj,人類的,0
hundred,adj,一百的,0
hungry,adj,飢餓的,0
important,adj,重要的,0
in,adj,在裡面的,0
inside,adj,"裡面的,內側的;內幕的",0
iron,adj,鐵的;剛強的;殘酷的,0
just,adj,正直的;公平的;應得的;正確的,0
key,adj,"重要的,基本的,關鍵的",0
kind,adj,仁慈的,0
large,adj,大的,0
last,adj,最後的,0
late,adj,晚的;遲的,0
lazy,adj,懶惰的,0
least,adj,最小的;最少的;最不重要的,0
left,adj,左邊的,0
less,adj,較少的,0
level,adj,"水平的,平的;筆直的",0
light,adj,輕的,0
likely,adj,有可能的,0
little,adj,很少的,0
live,adj,"活的,有生命的;燃著的;實況播送的",0
long,adj,長的,0
loud,adj,大聲的,0
low,adj,低的;矮的,0
lucky,adj,幸運的,0
mad,adj,發火;發瘋;發狂的,0
many,adj,很多的,0
mean,adj,兇的;吝嗇的,0
middle,adj,中間的,0
more,adj,更多的,0
most,adj,最多的;大部分的,0
much,adj,很多的,0
near,adj,近的,0
new,adj,新的,0
next,adj,下一個,0
nice,adj,好的,0
nine,adj,九的,0
nineteen,adj,十九的,0
ninety,adj,九十的,0
no,adj,沒有;不,0
noisy,adj,喧鬧的,0
north,adj,北方的,0
O.K.,adj,可以的;不錯的;很好的,0
off,adj,離去的;偏離的;休假的;關著的,0
OK,adj,好吧,0
okay,adj,對;可以;不錯,0
old,adj,年老的,0
one,adj,一個的,0
open,adj,打開的;空曠的;未定的;營業的;公開的,0
orange,adj,橙色的,0
other,adj,其他的,0
out,adj,在外的,0
outside,adj,"外邊的,外部的",0
own,adj,自己的,0
past,adj,過去的,0
poor,adj,貧窮的,0
possible,adj,可能的,0
pretty,adj,漂亮的,0
public,adj,公開的;公立的,0
purple,adj,紫色的,0
quick,adj,快的,0
quiet,adj,安靜的,0
ready,adj,準備好的,0
real,adj,真實的,0
red,adj,紅色的,0
rich,adj,富有的,0
right,adj,右邊;對的,0
round,adj,圓形的,0
sad,adj,難過的,0
safe,adj,安全的,0
salt,adj,"鹹水的;含鹽的;(故事,笑話等)猥褻的",0
same,adj,相同的,0
second,adj,"第二的;次要的,副的,從屬的",0
selfish,adj,自私的,0
seven,adj,七的,0
seventeen,adj,十七的,0
seventy,adj,七十的,0
several,adj,幾個的,0
sharp,adj,尖銳的;敏銳的,0
short,adj,矮的;短的,0
shy,adj,害羞的,0
sick,adj,生病的,0
silly,adj,傻的;無聊的,0
silver,adj,銀的;銀白的,0
simple,adj,簡單的,0
six,adj,六的,0
sixteen,adj,十六的,0
sixty,adj,六十的,0
slow,adj,緩慢的,0
small,adj,小的,0
smart,adj,聰明的,0
soft,adj,柔軟的,0
some,adj,一些的,0
sorry,adj,抱歉;遺憾的,0
sound,adj,"完好的;堅固的;合理的,明智的;殷實的",0
sour,adj,酸的,0
south,adj,南方的,0
special,adj,特別的,0
still,adj,靜止的,0
strange,adj,奇怪的,0
strong,adj,強壯的,0
stupid,adj,笨的,0
such,adj,如此的,0
super,adj,超級的,0
sure,adj,確定,0
sweet,adj,甜的,0
tall,adj,高的,0
ten,adj,十的,0
that,adj,那;那個,0
then,adj,當時的,0
these,adj,這些 (this 的複數),0
third,adj,第三,0
thirteen,adj,十三的,0
thirty,adj,三十的,0
this,adj,這,0
those,adj,那些的;那,0
thousand,adj,千的,0
three,adj,三的,0
tiny,adj,微小的,0
top,adj,最高的,0
total,adj,總的,0
true,adj,真實的;正確的,0
twelve,adj,十二的,0
twenty,adj,二十的,0
two,adj,二的,0
up,adj,向上的;上行的,0
upstairs,adj,樓上的,0
useful,adj,有用的,0
warm,adj,溫暖的,0
weak,adj,虛弱的,0
welcome,adj,受歡迎的;令人愉快的;被允許的,0
well,adj,健康的,0
west,adj,西方的,0
what,adj,"什麼;多麼,何等",0
