vocab,type,meaning,weight
absolute,adj,絕對的;完全的,0
abstract,adj,抽象的,0
academic,adj,學術的,0
accidental,adj,偶然的;意外的,0
acid,adj,酸性的;有酸味的,0
adequate,adj,足夠的,0
admirable,adj,值得讚揚的;絕妙的,0
aggressive,adj,"好鬥的,挑釁的;有進取精神的",0
agreeable,adj,欣然贊同的,0
alert,adj,警惕的;機敏的,0
amateur,adj,業餘的;外行的,0
ambitious,adj,有野心的,0
annual,adj,一年一次的;每年的,0
anxious,adj,"焦慮的,掛念的",0
appropriate,adj,"適當的,恰當的",0
artificial,adj,人工的,0
artistic,adj,藝術的,0
ashamed,adj,羞愧的,0
associate,adj,夥伴的;共事的;副的;聯合的,0
athletic,adj,"運動的,體育的;行動敏捷的",0
atomic,adj,原子的,0
audio,adj,"聽覺的,聲音的",0
awkward,adj,笨拙的;尷尬的,0
bald,adj,禿頭的,0
bankrupt,adj,破產的;已完全失敗的,0
broke,adj,一文不名的;破了產的,0
brutal,adj,野蠻的;粗暴的,0
characteristic,adj,"特有的,獨特的",0
circular,adj,圓形的;環形的,0
civilian,adj,百姓的;民用的,0
clumsy,adj,笨拙的,0
coarse,adj,"粗的,粗糙的",0
comic,adj,滑稽的,0
competitive,adj,競爭的,0
concrete,adj,具體的,0
consequent,adj,隨之發生的,0
conservative,adj,"保守的,守舊的",0
consistent,adj,"始終如一的,前後一致的",0
constructive,adj,建設性的;積極的;有助益的,0
content,adj,滿意的;甘願的,0
continual,adj,"不間斷的,連續的",0
continuous,adj,"連續的,不斷的",0
contrary,adj,"相反的,對立的",0
conventional,adj,"習慣的,慣例的",0
cooperative,adj,合作的;合作社的,0
copper,adj,紅銅色的,0
counter,adj,相反的;反對的;對立的,0
courageous,adj,"英勇的,勇敢的",0
courteous,adj,有禮貌的,0
critical,adj,"緊要的,關鍵性的,危急的",0
cunning,adj,"狡猾的,奸詐的",0
damp,adj,有濕氣的;潮濕的,0
defensible,adj,可防禦的;可辯護的,0
defensive,adj,防禦的,0
definite,adj,"明確的,確切的",0
delicate,adj,易碎的;嬌貴的,0
delightful,adj,"令人愉快的,令人高興的",0
dense,adj,"密集的,稠密的",0
dependable,adj,可靠的;可信任的,0
dependent,adj,依靠的;依賴的,0
desperate,adj,極度渴望的,0
detective,adj,偵查用的;探測用的,0
digital,adj,數字的,0
distinct,adj,與其他不同的,0
distinguished,adj,卓越的;著名的,0
divine,adj,"神授的,天賜的",0
dominant,adj,"佔優勢的,支配的,統治的",0
durable,adj,"經久的,耐用的",0
dusty,adj,滿是灰塵的,0
dynamic,adj,動態的,0
earnest,adj,誠摯的;熱心的,0
economic,adj,經濟上的;經濟學的,0
economical,adj,"經濟的,節約的",0
elastic,adj,"有彈性的,有彈力的",0
elegant,adj,"優美的,漂亮的",0
elementary,adj,"基本的;初級的,基礎的",0
emotional,adj,易動情的,0
enormous,adj,巨大的,0
envious,adj,嫉妒的;羨慕的,0
essential,adj,必要的;實質的,0
eventual,adj,最後的;結果的,0
evident,adj,明顯的;明白的,0
experimental,adj,實驗性的;試驗性的,0
explosive,adj,爆炸(性)的;爆發性的,0
facial,adj,臉的;面部的,0
faithful,adj,忠實的;忠誠的,0
fantastic,adj,奇妙的,0
fatal,adj,致命的,0
favorable,adj,適合的,0
fertile,adj,"(土地)肥沃的,富饒的;受精的",0
fierce,adj,兇猛的;殘酷的,0
financial,adj,財政的;金融的,0
flexible,adj,可彎曲的;可變通的,0
fluent,adj,"流利的,流暢的",0
fortunate,adj,"幸運的,僥倖的",0
fossil,adj,化石的;守舊的,0
fragrant,adj,香的,0
functional,adj,機能的;實用的,0
fundamental,adj,基礎的;根本的,0
furious,adj,狂怒的,0
genuine,adj,真的;非偽造的,0
gifted,adj,"有天資的,有天賦的",0
gigantic,adj,"巨大的,龐大的",0
glorious,adj,"壯觀的,壯麗的",0
graceful,adj,"優美的,雅緻的",0
gracious,adj,親切的;和藹的,0
grammatical,adj,文法的;合乎文法的,0
grateful,adj,"感謝的,感激的",0
grave,adj,"嚴重的;嚴肅的,認真的",0
greasy,adj,油膩的,0
guilty,adj,有罪的,0
habitual,adj,習以為常的,0
harsh,adj,粗糙的,0
healthful,adj,有益於健康的,0
honorable,adj,可尊敬的,0
hopeful,adj,抱有希望的,0
identical,adj,完全相同的,0
idle,adj,無所事事的,0
ignorant,adj,"無知的,不學無術的",0
imaginable,adj,能想像的,0
imaginary,adj,虛構的;幻想的,0
imaginative,adj,虛構的;幻想的,0
influential,adj,有影響的,0
informative,adj,教育性的;有益的,0
initial,adj,"開始的,最初的",0
intellectual,adj,智力的,0
intelligent,adj,有才智的,0
intense,adj,"強烈的,劇烈的",0
intensive,adj,加強的;密集的,0
intermediate,adj,"中等程度的,中級的",0
intimate,adj,"親密的,熟悉的",0
junior,adj,年紀較輕的;資淺的三年級(生)的,0
keen,adj,熱心的;敏銳的;渴望的,0
lawful,adj,合法的,0
lean,adj,精瘦的;貧乏的,0
learned,adj,"有學問的,博學的;精通的",0
leisurely,adj,"從容不迫的,悠閒的",0
literary,adj,"文學的,文藝的",0
logical,adj,合邏輯的;合理的,0
lousy,adj,不潔的;卑鄙的;討厭的,0
loyal,adj,"忠誠的,忠心的",0
lunar,adj,月的;陰曆的,0
luxurious,adj,奢侈的;驕奢淫逸的,0
magnetic,adj,磁鐵的;磁性的,0
magnificent,adj,"壯麗的,宏偉的",0
manual,adj,用手操作的,0
maximum,adj,最大限度的,0
mechanical,adj,機械的,0
memorable,adj,值得懷念的;難忘的,0
memorial,adj,追悼的;記憶的,0
mere,adj,"僅僅的,只不過的",0
messy,adj,混亂的,0
mild,adj,"溫和的,溫柔的",0
minimum,adj,"最小的,最少的",0
miserable,adj,悽慘的;悲哀的,0
moderate,adj,"中等的,適度的",0
modest,adj,審慎的;適度的,0
monthly,adj,每月的;每月一次的,0
mountainous,adj,多山的;巨大的,0
muddy,adj,多爛泥的;泥濘的,0
multiple,adj,複合的;多樣的,0
mutual,adj,相互的;共同的,0
mysterious,adj,神祕的;不可思議的,0
nearsighted,adj,近視的,0
needy,adj,貧窮的,0
nuclear,adj,原子能的;細胞核的,0
numerous,adj,"許多的,很多的",0
obedient,adj,"服從的,順從的",0
objective,adj,客觀的,0
occasional,adj,"偶爾的,非經常的",0
offensive,adj,"冒犯的,唐突的",0
oral,adj,"口頭的,口述的;口部的",0
organic,adj,有機的,0
outstanding,adj,傑出的;未償付的,0
oval,adj,卵形的;橢圓形的,0
overnight,adj,通宵;整夜,0
partial,adj,"部分的,局部的;不完全的",0
passive,adj,被動的;消極的,0
peculiar,adj,奇怪的;乖癖的,0
permanent,adj,"永久的,永恆的;永遠的",0
persuasive,adj,有說服力的,0
pessimistic,adj,悲觀的,0
philosophical,adj,哲學的,0
physical,adj,身體的;物理學的,0
plentiful,adj,"豐富的,充足的;多的",0
plural,adj,複數的,0
poisonous,adj,有毒的;有害的,0
portable,adj,手提式的;輕便的,0
precise,adj,精確的;準確的,0
preferable,adj,"更可取的,更合意的",0
pregnant,adj,懷孕的,0
prime,adj,最初的;原始的;基本的,0
primitive,adj,原始的;遠古的;早期的,0
productive,adj,"生產的,生產性的",0
professional,adj,職業性的,0
profitable,adj,有利的,0
prominent,adj,"卓越的,著名的",0
promising,adj,"有希望的,有前途的",0
prompt,adj,"敏捷的;即時的,即期的",0
prosperous,adj,"興旺的,繁榮的,昌盛的",0
psychological,adj,"心理的,精神的",0
realistic,adj,現實的,0
relative,adj,有關的;相對的,0
reluctant,adj,不情願的;勉強的,0
remarkable,adj,非凡的;卓越的,0
respectable,adj,值得尊敬的;體面的,0
respectful,adj,恭敬的;尊敬人的,0
revolutionary,adj,革命的,0
rural,adj,農村的;田園的,0
senior,adj,年資較深的;四年級生的,0
severe,adj,嚴重的;劇烈的,0
shameful,adj,"可恥的,丟臉的",0
shortsighted,adj,"近視的;目光短淺的,缺乏遠見的",0
singular,adj,單數的;獨個的,0
slight,adj,輕微的;微小的,0
solar,adj,太陽的;日光的,0
sorrowful,adj,悲傷的;令人傷心的,0
spare,adj,"多餘的,剩下的;空閒的",0
spicy,adj,辛辣的;痛快的,0
spiritual,adj,心靈的;崇高純潔的,0
splendid,adj,燦爛的;傑出的,0
stingy,adj,小氣的,0
submarine,adj,海底的,0
suspicious,adj,"猜疑的,疑心的;多疑的",0
